end_datetime,start_datetime,divergence,price_change,rsi_change,future_return,timeframe
741,735,Bullish Divergence,933.4199999999983,19.238895354470184,0.009593611248149957,15m
859,846,Bullish Divergence,694.3800000000047,21.995930670180492,0.007144296831859673,15m
937,924,Bullish Divergence,-0.5099999999947613,5.33110680816414,-5.317955890316653e-06,15m
93,58,Bearish Divergence,-99.38999999999942,-5.858741135280766,-0.0010868474076737335,15m
97,58,Bearish Divergence,-245.19000000000233,-8.39059813225159,-0.00267444658404052,15m
470,325,Bearish Divergence,-741.1499999999942,-17.17827484645079,-0.007895691433630161,15m
543,526,Bearish Divergence,-55.85000000000582,-7.018469220404867,-0.0005924500541267655,15m
545,526,Bearish Divergence,-70.85000000000582,-10.068166239162878,-0.0007506657987127095,15m
547,526,Bearish Divergence,247.69000000000233,-4.937974483770631,0.0026224057568630223,15m
549,526,Bearish Divergence,-311.1200000000099,-13.037931333077147,-0.0032878422858663246,15m
607,602,Bearish Divergence,-290.47000000000116,-7.222568147677038,-0.00297439239328868,15m
630,602,Bearish Divergence,-307.320000000007,-8.999934804645193,-0.00312770558695221,15m
